date,AMZN,FB,AAPL,GOOGL,MSFT
2015-08-26,500.769989,87.190002,109.690002,659.73999,42.709999
2015-08-27,518.369995,89.730003,112.919998,667.960022,43.900002
2015-08-28,518.01001,91.010002,113.290001,659.6900019999998,43.93
2015-08-31,512.8900150000002,89.43,112.760002,647.820007,43.52
2015-09-01,496.540009,87.230003,107.720001,629.5599980000002,41.82
2015-09-02,510.549988,89.889999,112.339996,644.909973,43.360001
2015-09-03,504.720001,88.150002,110.370003,637.049988,43.5
2015-09-04,499.0,88.260002,109.269997,628.960022,42.610001
2015-09-08,517.539978,89.529999,112.309998,643.880005,43.889999
2015-09-09,516.8900150000002,90.440002,110.150002,643.409973,43.07
2015-09-10,522.23999,91.980003,112.57,651.080017,43.290001
2015-09-11,529.4400019999998,92.050003,114.209999,655.299988,43.48
2015-09-14,521.380005,92.309998,115.309998,652.469971,43.040001
2015-09-15,522.369995,92.900002,116.279999,665.070007,43.98
2015-09-16,527.3900150000002,93.449997,116.410004,665.52002,44.299999
2015-09-17,538.869995,94.339996,113.919998,671.669983,44.25
2015-09-18,540.26001,94.400002,113.449997,660.919983,43.48
2015-09-21,548.3900150000002,95.550003,115.209999,666.97998,44.110001
2015-09-22,538.400024,92.959999,113.400002,653.200012,43.900002
2015-09-23,536.070007,93.970001,114.32,653.289978,43.869999
2015-09-24,533.75,94.410004,115.0,654.909973,43.91
2015-09-25,524.25,92.769997,114.709999,640.150024,43.939999
2015-09-28,504.05999800000006,89.209999,112.440002,624.25,43.290001
2015-09-29,496.070007,86.66999799999998,109.059998,622.6099849999998,43.439999
2015-09-30,511.89001500000006,89.900002,110.300003,638.369995,44.259998
2015-10-01,520.719971,90.949997,109.580002,642.0,44.610001
2015-10-02,532.539978,92.07,110.379997,656.98999,45.57
2015-10-05,543.679993,94.010002,110.779999,671.679993,46.630001
2015-10-06,537.47998,92.800003,111.309998,671.6400150000002,46.75
2015-10-07,541.9400019999998,92.400002,110.779999,670.0,46.799999
2015-10-08,533.159973,92.470001,109.5,667.0,47.450001
2015-10-09,539.799988,93.239998,112.120003,671.23999,47.110001
2015-10-12,550.1900019999998,94.260002,111.599998,676.429993,47.0
2015-10-13,548.900024,94.120003,111.790001,683.169983,46.889999
2015-10-14,544.830017,94.07,110.209999,680.409973,46.68
2015-10-15,562.4400019999998,95.959999,111.860001,693.02002,47.009998
2015-10-16,570.76001,97.540001,111.040001,695.320007,47.509998
2015-10-19,573.150024,98.470001,111.730003,699.950012,47.619999
2015-10-20,560.880005,97.0,113.769997,680.0,47.77
2015-10-21,555.77002,97.110001,113.760002,671.799988,47.200001
2015-10-22,563.909973,99.669998,115.5,681.1400150000002,48.029999
2015-10-23,599.030029,102.190002,119.080002,719.330017,52.869999
2015-10-26,608.6099849999998,103.769997,115.279999,731.119995,54.25
2015-10-27,611.01001,103.699997,114.550003,732.820007,53.689999
2015-10-28,617.099976,104.199997,119.269997,736.919983,53.98
2015-10-29,626.549988,104.879997,120.529999,744.849976,53.360001
2015-10-30,625.900024,101.970001,119.5,737.3900150000002,52.639999
2015-11-02,628.349976,103.309998,121.18,747.73999,53.240002
2015-11-03,625.3099980000002,102.580002,122.57,748.820007,54.150002
2015-11-04,640.950012,103.940002,122.0,755.3099980000002,54.400002
2015-11-05,655.650024,108.760002,120.919998,760.669983,54.380001
2015-11-06,659.369995,107.099998,121.059998,761.599976,54.919998
2015-11-09,655.48999,106.489998,120.57,754.77002,54.16
2015-11-10,659.679993,107.910004,116.769997,758.26001,53.509998
2015-11-11,673.25,109.010002,116.110001,765.25,53.650002
2015-11-12,665.599976,108.019997,115.720001,756.530029,53.32
2015-11-13,642.349976,103.949997,112.339996,740.070007,52.84
2015-11-16,647.8099980000002,104.040001,114.18,750.419983,53.77
2015-11-17,643.299988,105.129997,113.690002,745.97998,52.970001
2015-11-18,663.539978,107.769997,117.290001,760.01001,53.849998
2015-11-19,661.27002,106.260002,118.779999,759.9400019999998,53.939999
2015-11-20,668.450012,107.32,119.300003,777.0,54.189999
2015-11-23,678.98999,106.949997,117.75,776.700012,54.189999
2015-11-24,671.150024,105.739998,118.879997,769.630005,54.25
2015-11-25,675.340027,105.410004,118.029999,769.26001,53.689999
2015-11-27,673.26001,105.449997,117.809998,771.969971,53.93
2015-11-30,664.799988,104.239998,118.300003,762.849976,54.349998
2015-12-01,679.0599980000002,107.120003,117.339996,783.789978,55.220001
2015-12-02,676.01001,106.07,116.279999,777.849976,55.209999
2015-12-03,666.25,104.379997,115.199997,768.200012,54.200001
2015-12-04,672.6400150000002,106.18,119.029999,779.210022,55.91
2015-12-07,669.830017,105.610001,118.279999,772.98999,55.810001
2015-12-08,677.330017,106.489998,118.230003,775.1400150000002,55.790001
2015-12-09,664.789978,104.599998,115.620003,762.549988,54.98
2015-12-10,662.320007,105.419998,116.169998,760.039978,55.27
2015-12-11,640.150024,102.120003,113.18,750.419983,54.060001
2015-12-14,657.909973,104.660004,112.480003,762.539978,55.139999
2015-12-15,658.6400150000002,104.550003,110.489998,760.090027,55.200001
2015-12-16,675.77002,106.790001,111.339996,776.590027,56.130001
2015-12-17,670.650024,106.220001,108.980003,769.830017,55.700001
2015-12-18,664.1400150000002,104.040001,106.029999,756.849976,54.130001
2015-12-21,664.51001,104.769997,107.330002,760.799988,54.830002
2015-12-22,663.150024,105.510002,107.230003,767.130005,55.349998
2015-12-23,663.700012,104.629997,108.610001,768.51001,55.82
2015-12-24,662.789978,105.019997,108.029999,765.840027,55.669998
2015-12-28,675.200012,105.93,106.82,782.23999,55.950001
2015-12-29,693.969971,107.260002,108.739998,793.960022,56.549999
2015-12-30,689.070007,106.220001,107.32,790.299988,56.310001
2015-12-31,675.8900150000002,104.660004,105.260002,778.01001,55.48
2016-01-04,636.98999,102.220001,105.349998,759.4400019999998,54.799999
2016-01-05,633.789978,102.730003,102.709999,761.530029,55.049999
2016-01-06,632.650024,102.970001,100.699997,759.330017,54.049999
2016-01-07,607.9400019999998,97.919998,96.449997,741.0,52.169998
2016-01-08,607.049988,97.330002,96.959999,730.909973,52.330002
2016-01-11,617.73999,97.510002,98.529999,733.070007,52.299999
2016-01-12,617.8900150000002,99.370003,99.959999,745.340027,52.779999
2016-01-13,581.8099980000002,95.440002,97.389999,719.570007,51.639999
2016-01-14,593.0,98.370003,99.519997,731.3900150000002,53.110001
2016-01-15,570.179993,94.970001,97.129997,710.48999,50.990002
2016-01-19,574.47998,95.260002,96.660004,719.080017,50.560001
2016-01-20,571.77002,94.349998,96.790001,718.5599980000002,50.790001
2016-01-21,575.02002,94.160004,96.300003,726.669983,50.48
2016-01-22,596.380005,97.940002,101.419998,745.460022,52.290001
2016-01-25,596.530029,97.010002,99.440002,733.619995,51.790001
2016-01-26,601.25,97.339996,99.989998,733.789978,52.169998
2016-01-27,583.349976,94.449997,93.419998,717.580017,51.220001
2016-01-28,635.349976,109.110001,94.089996,748.299988,52.060001
2016-01-29,587.0,112.209999,97.339996,761.349976,55.09
2016-02-01,574.8099980000002,115.089996,96.43,770.77002,54.709999
2016-02-02,552.099976,114.610001,94.480003,780.909973,53.0
2016-02-03,531.070007,112.690002,96.349998,749.380005,52.16
2016-02-04,536.26001,110.489998,96.599998,730.030029,52.0
2016-02-05,502.130005,104.07,94.019997,703.76001,50.16
2016-02-08,488.100006,99.75,95.010002,704.159973,49.41
2016-02-09,482.070007,99.540001,94.989998,701.02002,49.279999
2016-02-10,490.4800110000001,101.0,94.269997,706.849976,49.709999
2016-02-11,503.820007,101.910004,93.699997,706.3599849999998,49.689999
2016-02-12,507.079987,102.010002,93.989998,706.8900150000002,50.5
2016-02-16,521.099976,101.610001,96.639999,717.6400150000002,51.09
2016-02-17,534.099976,105.199997,98.120003,731.969971,52.419998
2016-02-18,525.0,103.470001,96.260002,717.51001,52.189999
2016-02-19,534.900024,104.57,96.040001,722.1099849999998,51.82
2016-02-22,559.5,107.160004,96.879997,729.049988,52.650002
2016-02-23,552.9400019999998,105.459999,94.690002,717.289978,51.18
2016-02-24,554.039978,106.879997,96.099998,720.900024,51.360001
2016-02-25,555.150024,108.07,96.760002,729.119995,52.099998
2016-02-26,555.22998,107.919998,96.910004,724.8599849999998,51.299999
2016-02-29,552.52002,106.919998,96.690002,717.219971,50.880001
2016-03-01,579.039978,109.82,100.529999,742.169983,52.580002
2016-03-02,580.210022,109.949997,100.75,739.47998,52.950001
2016-03-03,577.48999,109.580002,101.5,731.590027,52.349998
2016-03-04,575.1400150000002,108.389999,103.010002,730.219971,52.029999
2016-03-07,562.799988,105.730003,101.870003,712.799988,51.029999
2016-03-08,560.26001,105.93,101.029999,713.530029,51.650002
2016-03-09,559.469971,107.510002,101.120003,725.409973,52.84
2016-03-10,558.929993,107.32,101.169998,732.169983,52.049999
2016-03-11,569.6099849999998,109.410004,102.260002,744.869995,53.07
2016-03-14,573.369995,109.889999,102.519997,750.23999,53.169998
2016-03-15,577.02002,110.669998,104.580002,750.570007,53.59
2016-03-16,574.27002,112.18,105.970001,757.3599849999998,54.349998
2016-03-17,559.4400019999998,111.019997,105.800003,758.47998,54.66
2016-03-18,552.080017,111.449997,105.919998,755.409973,53.490002
2016-03-21,553.97998,111.849998,105.910004,762.159973,53.860001
2016-03-22,560.47998,112.25,106.720001,760.049988,54.07
2016-03-23,569.630005,112.540001,106.129997,757.5599980000002,53.970001
2016-03-24,582.950012,113.050003,105.669998,754.840027,54.209999
2016-03-28,579.869995,113.690002,105.190002,753.280029,53.540001
2016-03-29,593.8599849999998,116.139999,107.68,765.8900150000002,54.709999
2016-03-30,598.6900019999998,114.699997,109.559998,768.340027,55.049999
2016-03-31,593.6400150000002,114.099998,108.989998,762.900024,55.23
2016-04-01,598.5,116.059998,109.989998,769.669983,55.57
2016-04-04,593.1900019999998,112.550003,111.120003,765.119995,55.43
2016-04-05,586.1400150000002,112.220001,109.809998,758.570007,54.560001
2016-04-06,602.080017,113.709999,110.959999,768.070007,55.119999
2016-04-07,591.429993,113.639999,108.540001,760.119995,54.459999
2016-04-08,594.599976,110.629997,108.660004,759.469971,54.419998
2016-04-11,595.929993,108.989998,109.019997,757.539978,54.310001
2016-04-12,603.169983,110.610001,110.440002,764.320007,54.650002
2016-04-13,614.820007,110.510002,112.040001,771.909973,55.349998
2016-04-14,620.75,110.839996,112.099998,775.3900150000002,55.360001
2016-04-15,625.8900150000002,109.639999,109.849998,780.0,55.650002
2016-04-18,635.349976,110.449997,107.480003,787.679993,56.459999
2016-04-19,627.900024,112.290001,106.910004,776.25,56.389999
2016-04-20,632.98999,112.419998,107.129997,774.919983,55.59
2016-04-21,631.0,113.440002,105.970001,780.0,55.779999
2016-04-22,620.5,110.559998,105.68,737.77002,51.779999
2016-04-25,626.200012,110.099998,105.080002,742.210022,52.110001
2016-04-26,616.880005,108.760002,104.349998,725.369995,51.439999
2016-04-27,606.570007,108.889999,97.82,721.460022,50.939999
2016-04-28,602.0,116.730003,94.830002,705.0599980000002,49.900002
2016-04-29,659.590027,117.580002,93.739998,707.880005,49.869999
2016-05-02,683.849976,118.57,93.639999,714.409973,50.610001
2016-05-03,671.320007,117.43,95.18,708.4400019999998,49.779999
2016-05-04,670.900024,118.059998,94.190002,711.369995,49.869999
2016-05-05,659.090027,117.809998,93.239998,714.710022,49.939999
2016-05-06,673.950012,119.489998,92.720001,725.179993,50.389999
2016-05-09,679.75,119.239998,92.790001,729.130005,50.07
2016-05-10,703.070007,120.5,93.419998,739.380005,51.02
2016-05-11,713.22998,119.519997,92.510002,730.549988,51.049999
2016-05-12,717.929993,120.279999,90.339996,728.070007,51.509998
2016-05-13,709.919983,119.809998,90.519997,724.830017,51.080002
2016-05-16,710.659973,118.669998,93.879997,730.299988,51.830002
2016-05-17,695.27002,117.349998,93.489998,720.1900019999998,50.509998
2016-05-18,697.450012,117.650002,94.559998,721.780029,50.810001
2016-05-19,698.52002,116.809998,94.199997,715.3099980000002,50.32
2016-05-20,702.799988,117.349998,95.220001,721.710022,50.619999
2016-05-23,696.75,115.970001,96.43,717.25,50.029999
2016-05-24,704.200012,117.699997,97.900002,733.030029,51.59
2016-05-25,708.349976,117.889999,99.620003,738.099976,52.119999
2016-05-26,714.909973,119.470001,100.410004,736.929993,51.889999
2016-05-27,712.23999,119.379997,100.349998,747.599976,52.32
2016-05-31,722.789978,118.809998,99.860001,748.849976,53.0
2016-06-01,719.4400019999998,118.779999,98.459999,748.460022,52.849998
2016-06-02,728.23999,118.93,97.720001,744.27002,52.48
2016-06-03,725.539978,118.470001,97.919998,735.8599849999998,51.790001
2016-06-06,726.72998,118.790001,98.629997,730.0599980000002,52.130001
2016-06-07,723.73999,117.760002,99.029999,731.090027,52.099998
2016-06-08,726.6400150000002,118.389999,98.940002,742.929993,52.040001
2016-06-09,727.650024,118.559998,99.650002,742.52002,51.619999
2016-06-10,717.909973,116.620003,98.830002,733.1900019999998,51.48
2016-06-13,715.23999,113.949997,97.339996,731.880005,50.139999
2016-06-14,719.299988,114.940002,97.459999,733.25,49.830002
2016-06-15,714.26001,114.599998,97.139999,732.1900019999998,49.689999
2016-06-16,717.51001,114.389999,97.550003,724.25,50.389999
2016-06-17,706.3900150000002,113.019997,95.330002,704.25,50.130001
2016-06-20,714.01001,113.370003,95.099998,706.130005,50.07
2016-06-21,715.820007,114.379997,95.910004,708.880005,51.189999
2016-06-22,710.599976,113.910004,95.550003,710.469971,50.990002
2016-06-23,722.080017,115.080002,96.099998,714.869995,51.91
2016-06-24,698.960022,112.080002,93.400002,685.200012,49.830002
2016-06-27,691.3599849999998,108.970001,92.040001,681.1400150000002,48.43
2016-06-28,707.950012,112.699997,93.589996,691.26001,49.439999
2016-06-29,715.599976,114.160004,94.400002,695.1900019999998,50.540001
2016-06-30,715.619995,114.279999,95.599998,703.530029,51.169998
2016-07-01,725.679993,114.190002,95.889999,710.25,51.16
2016-07-05,728.099976,114.199997,94.989998,704.8900150000002,51.169998
2016-07-06,737.6099849999998,116.699997,95.529999,708.969971,51.380001
2016-07-07,736.570007,115.849998,95.940002,707.26001,51.380001
2016-07-08,745.8099980000002,117.239998,96.68,717.780029,52.299999
2016-07-11,753.780029,117.870003,96.980003,727.200012,52.59
2016-07-12,748.210022,117.93,97.419998,732.51001,53.209999
2016-07-13,742.630005,116.779999,96.870003,729.47998,53.509998
2016-07-14,741.200012,117.290001,98.790001,735.799988,53.740002
2016-07-15,735.4400019999998,116.860001,98.779999,735.630005,53.700001
2016-07-18,736.070007,119.370003,99.830002,753.200012,53.959999
2016-07-19,739.950012,120.610001,99.870003,753.409973,53.09
2016-07-20,745.719971,121.919998,99.959999,757.080017,55.91
2016-07-21,744.429993,120.610001,99.43,754.409973,55.799999
2016-07-22,744.8599849999998,121.0,98.660004,759.280029,56.57
2016-07-25,739.6099849999998,121.629997,97.339996,757.52002,56.73
2016-07-26,735.590027,121.220001,96.669998,757.650024,56.759998
2016-07-27,736.669983,123.339996,102.949997,761.969971,56.189999
2016-07-28,752.6099849999998,125.0,104.339996,765.840027,56.209999
2016-07-29,758.8099980000002,123.940002,104.209999,791.340027,56.68
2016-08-01,767.73999,124.309998,106.050003,800.9400019999998,56.580002
2016-08-02,760.580017,123.089996,104.480003,800.119995,56.580002
2016-08-03,754.6400150000002,122.510002,105.790001,798.919983,56.970001
2016-08-04,760.77002,124.360001,105.870003,797.25,57.389999
2016-08-05,765.97998,125.150002,107.480003,806.929993,57.959999
2016-08-08,766.5599980000002,125.260002,108.370003,805.22998,58.060001
2016-08-09,768.3099980000002,125.059998,108.809998,807.47998,58.200001
2016-08-10,768.5599980000002,124.879997,108.0,808.48999,58.02
2016-08-11,771.23999,124.900002,107.93,808.200012,58.299999
2016-08-12,772.5599980000002,124.879997,108.18,807.049988,57.939999
2016-08-15,768.48999,123.900002,109.480003,805.960022,58.119999
2016-08-16,764.039978,123.300003,109.379997,801.1900019999998,57.439999
2016-08-17,764.630005,124.370003,109.220001,805.419983,57.560001
2016-08-18,764.460022,123.910004,109.080002,802.75,57.599998
2016-08-19,757.3099980000002,123.559998,109.360001,799.650024,57.619999
2016-08-22,759.47998,124.150002,108.510002,796.950012,57.669998
2016-08-23,762.450012,124.370003,108.849998,796.590027,57.889999
2016-08-24,757.25,123.480003,108.029999,793.599976,57.950001
2016-08-25,759.219971,123.889999,107.57,791.299988,58.169998
2016-08-26,769.0,124.959999,106.940002,793.219971,58.029999
2016-08-29,771.289978,126.540001,106.82,795.820007,58.099998
